Latest: Wavelength (nm),Latest: Intensity (rel)
545.3,0.01855191882
545.9,0.01786526284
546.6,0.01485923552
547.3,0.01728542
548,0.01775844968
548.7,0.01606469825
549.3,0.0172091249
550,0.01891813535
550.7,0.01731593805
551.4,0.0164461738
552.1,0.01727016098
552.7,0.0188876173
553.4,0.01925383383
554.1,0.01719386587
554.8,0.01583581292
555.5,0.01780422675
556.1,0.01418783856
556.8,0.01815518425
557.5,0.01870450904
558.2,0.019375906
558.9,0.01803311208
559.5,0.01891813535
560.2,0.01685816739
560.9,0.01760585946
561.6,0.01907072557
562.3,0.01858243687
562.9,0.01847562371
563.6,0.01733119707
564.3,0.0174227512
565,0.02018463417
565.7,0.01543907836
566.3,0.01783474479
567,0.02019989319
567.7,0.01952849622
568.4,0.01989471275
569.1,0.02128328374
569.7,0.01667505913
570.4,0.01667505913
571.1,0.0197878996
571.8,0.0180483711
572.4,0.02035248341
573.1,0.01846036469
573.8,0.02041351949
574.5,0.0188876173
575.2,0.02052033265
575.8,0.02196993973
576.5,0.01798733501
577.2,0.01983367666
577.9,0.02224460212
578.6,0.02074921798
579.2,0.02193942168
579.9,0.02253452354
580.6,0.02042877852
581.3,0.02055085069
582,0.02026092927
582.6,0.02277866789
583.3,0.01910124361
584,0.01975738155
584.7,0.01781948577
585.4,0.01966582742
586,0.01981841764
586.7,0.0183993286
587.4,0.0230685893
588.1,0.01844510567
588.8,0.02033722438
589.4,0.02035248341
590.1,0.02079499504
590.8,0.02003204395
591.5,0.01925383383
592.1,0.02074921798
592.8,0.02277866789
593.5,0.02064240482
594.2,0.02113069352
594.8,0.01943694209
595.5,0.022854963
596.2,0.02265659571
596.9,0.01887235828
597.5,0.01963530938
598.2,0.02148165103
598.9,0.02039826047
599.6,0.01803311208
600.2,0.02042877852
600.9,0.02245822843
601.6,0.02120698863
602.3,0.02288548104
602.9,0.02029144732
603.6,0.02119172961
604.3,0.0209781033
605,0.02019989319
605.6,0.0195132372
606.3,0.02114595254
607,0.02035248341
607.7,0.01910124361
608.3,0.018673991
609,0.01946746014
609.7,0.02039826047
610.4,0.01908598459
611,0.02135957885
611.7,0.01966582742
612.4,0.01962005035
613.1,0.02038300145
613.7,0.01748378729
614.4,0.01904020752
615.1,0.02126802472
615.8,0.01945220111
616.4,0.01823147936
617.1,0.01893339437
617.8,0.02024567025
618.5,0.02082551308
619.1,0.01981841764
619.8,0.01517967498
