"Remote Data: Wavelength (nm)","Remote Data: Intensity (rel)"
435.4,0.607354848554
436.1,0.603906309606
436.7,0.579232471199
437.4,0.568535896849
438.1,0.539955748836
438.7,0.591851682307
439.4,0.602594033722
440.1,0.601113908598
440.7,0.639871824216
441.4,0.652445258259
442.1,0.660486762799
442.7,0.658533607996
443.4,0.669199664302
444.1,0.676096742199
444.7,0.6547035935
445.4,0.636987869078
446.1,0.68680857557
446.7,0.703334096284
447.4,0.712245365072
448.1,0.728252079042
448.7,0.741008621347
449.4,0.753307392996
450.1,0.779095140002
450.8,0.773708705272
451.4,0.7473868925
452.1,0.728786144808
452.7,0.715907530327
453.4,0.765148393988
454,0.759700923171
454.7,0.753124284733
455.3,0.781124589914
456,0.794872968643
456.6,0.797436484321
457.3,0.793743801022
457.9,0.784161135271
458.6,0.789196612497
459.2,0.773891813535
459.9,0.803707942321
460.6,0.817395284962
461.2,0.821683070115
461.9,0.817517357137
462.5,0.828229190509
463.2,0.813794155795
463.8,0.811352712291
464.5,0.801220721752
465.1,0.805737392233
465.8,0.819195849546
466.4,0.783962767987
467.1,0.807995727474
467.7,0.803372243839
468.4,0.80032043946
469.1,0.807522697795
469.7,0.772793163958
470.4,0.790173189899
471,0.82977035172
471.7,0.846204318303
472.3,0.818768596933
473,0.814206149386
473.6,0.842084382391
474.3,0.85784695201
474.9,0.833752956435
475.6,0.844144350347
476.2,0.842404821851
476.9,0.864881361105
477.6,0.876661326009
478.2,0.863279163806
478.9,0.887953002213
479.5,0.878141451133
480.2,0.884946974899
480.8,0.898115510796
481.5,0.91995117113
482.1,0.886900129702
482.8,0.898802166781
483.4,0.893125810636
484.1,0.88101014725
484.8,0.830579079881
485.4,0.746196688792
486.1,0.807293812467
486.7,0.847348744945
487.4,0.89565880827
488,0.870603494316
488.7,0.891294728008
489.3,0.93620202945
490,0.92816052491
490.6,0.903929198138
491.3,0.875745784695
491.9,0.904295414664
492.6,0.923079270619
493.2,0.908918898299
493.9,0.947356374456
494.6,0.922240024414
495.2,0.909559777218
495.9,0.932173647669
496.5,0.938673990997
497.2,0.896955825132
497.8,0.877119096666
498.5,0.921980621042
499.1,0.889585717556
499.8,0.8593728542
500.4,0.860059510185
501.1,0.853925383383
501.7,0.869703212024
502.4,0.864637216754
503.1,0.850553139544
503.7,0.882505531395
504.4,0.907713435569
505,0.926802471962
505.7,0.921889066911
506.3,0.90128938735
507,0.883405813687
507.6,0.908659494926
508.3,0.919249256123
508.9,0.917112993057
509.6,0.909407186999
510.2,0.929594872969
510.9,0.947219043259
511.6,0.914045929656
512.2,0.904631113146
512.9,0.902235446708
513.5,0.884870679789
514.2,0.915098802167
514.8,0.902281223774
515.5,0.844266422522
516.1,0.783794918746
516.8,0.837232013428
517.4,0.833875028611
518.1,0.879926756695
518.7,0.89718471046
519.4,0.909803921569
520.1,0.911848630503
520.7,0.925001907378
521.4,0.914579995422
522,0.897123674372
522.7,0.923186083772
523.3,0.951277943084
524,0.920164797436
524.6,0.916044861524
525.3,0.865201800565
525.9,0.816937514305
526.6,0.885740444038
527.2,0.914274814984
527.9,0.938811322194
528.6,0.932295719844
529.2,0.922774090181
529.9,0.95124742504
530.5,0.92912184329
531.2,0.893629358358
531.8,0.867231250477
532.5,0.911268787671
533.1,0.914335851072
533.8,0.922697795071
534.4,0.958495460441
535.1,0.936705577173
535.8,0.888563363088
536.4,0.921019302663
537.1,0.931944762341
537.8,0.914183260853
538.4,0.884397650111
539.1,0.866010528725
539.8,0.853101396201
540.4,0.883848325322
541.1,0.89629968719
541.8,0.89275959411
542.5,0.88567940795
543.1,0.902159151598
543.8,0.897703517205
544.5,0.877622644388
545.1,0.882124055848
545.8,0.895063706416
546.5,0.869611657893
547.2,0.858518348974
547.8,0.885526817731
548.5,0.891538872358
549.2,0.88206301976
549.8,0.864072632944
550.5,0.867200732433
551.2,0.871274891279
551.8,0.846753643091
552.5,0.866514076448
553.2,0.880247196155
553.9,0.869001297017
554.5,0.855100328069
555.2,0.830304417487
555.9,0.825329976349
556.5,0.817685206378
557.2,0.819745174334
557.9,0.772991531243
558.6,0.781765468833
559.2,0.790539406424
559.9,0.80852979324
560.6,0.817074845502
561.2,0.785931181811
561.9,0.798184176394
562.6,0.817181658656
563.3,0.798489356832
563.9,0.817853055619
564.6,0.809033340963
565.3,0.790920881971
565.9,0.79726863508
566.6,0.803875791562
